NGÂN HÀNG NÔNG NGHIỆP,,,,CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM,,,,
VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM,,,,Độc lập - Tự do - Hạnh phúc,,,,
,,,,"                                     Hà Nội, ngày       tháng  3  năm 2026",,,,
,,,,,,,,
"BỘ CÂU HỎI, ĐÁP ÁN ÔN TẬP KỲ KIỂM TRA CHUYÊN MÔN NGHỆP VỤ ĐỊNH KỲ TẠI CHI NHÁNH ĐỢT 1 NĂM 2026",,,,,,,,
NỘI DUNG: KIẾN THỨC CHUNG,,,,,,,,
,,,"Đầu mối phận phản hồi về câu hỏi, đáp án: Phạm Văn Hùng - 0975.880699/0246.3284.924",,,,,
,,,Email: hungphamvan@agribank.com.vn,,,,,
STT,,CÂU HỎI,ĐÁP ÁN 1,ĐÁP ÁN 2,ĐÁP ÁN 3,ĐÁP ÁN 4,ĐÁP ÁN ĐÚNG,TRÍCH DẪN NGUỒN CÂU HỎI
"I. MÔ HÌNH TỔ CHỨC, ĐIỀU LỆ, QUY CHẾ TỔ CHỨC CHI NHÁNH (10 CÂU)",,,,,,,,
1,1,"Khi Tổng giám đốc Agribank phân công công việc trực tiếp cho Phó giám đốc chi nhánh loại I, hành động này thuộc loại nào?","Phân công vượt cấp, cần xin ý kiến phê duyệt.",Phân công trực tiếp xuống cấp dưới liền kề trong trường hợp cần thiết.,Phân công thay thế tạm thời trong thời gian khẩn cấp.,Ủy quyền ngắn hạn theo cơ chế nội bộ.,2,Khoản 1.2 Điều 20 Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV
2,2,"Theo Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV, trong trường hợp cần thiết, người quản lý đứng đầu đơn vị có thể phân công trực tiếp cho cấp dưới liền kề. Vậy trong trường hợp này, Tổng Giám đốc có thể phân công trực tiếp cho ai?",Giám đốc Phòng giao dịch.,Phó giám đốc Chi nhánh loại I.,Trưởng phòng nghiệp vụ thuộc Chi nhánh loại II.,Phó phòng nghiệp vụ thuộc Chi nhánh loại I.,2,Khoản 1.2 Điều 20 Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV
3,3,"Hạng chi nhánh theo quy định tại Quy chế tổ chức và hoạt động của Chi nhánh, phòng giao dịch là gì?",Là cấp độ mà Chi nhánh được sắp xếp dựa trên các tiêu chí nhất định theo quy định nội bộ của Agribank trong từng thời kỳ.,Là thứ hạng chi nhánh được Agribank ban hành trong từng thời kỳ.,Là cấp độ chi nhánh được Ngân hàng Nhà nước quy định trong từng thời kỳ.,,1,Khoản 3 Điều 2 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024
4,4,"Theo Quy chế tổ chức và hoạt động của Chi nhánh, Phòng giao dịch số 1589/QC-HĐTV-TCNS ngày 31/12/2024, Phòng giao dịch duy trì từ mấy lao động thực tế trong định biên, có kho tiền đủ tiêu chuẩn theo quy định của NHNN thì Giám đốc Chi nhánh quản lý Phòng giao dịch được thành lập Tổ Kế toán và ngân quỹ?",05,06,07 lao động thực tế trong định biên trở lên.,08,3,Điểm đ Khoản 3 Điều 3 Quy chế 1589/QC-HĐTV-TCNS ngày 31/12/2024
5,5,Agribank có bao nhiêu người đại diện theo pháp luật?,1,2,3,4,1,Khoản 1 Điều 9 Điều lệ Agribank 2024
6,6,Ai là Người đại diện theo pháp luật của Agribank hiện nay?,Chủ tịch Hội đồng thành viên.,Tổng Giám đốc.,Chủ tịch Hội đồng thành viên và Tổng Giám đốc.,Người do Chủ tịch Hội đồng thành viên ủy quyền.,2,Khoản 1 Điều 9 Điều lệ Agribank 2024
7,7,"Kể từ ngày kết thúc năm tài chính, trong thời hạn bao nhiêu ngày, Agribank phải công khai các báo cáo tài chính theo quy định của pháp luật, Ngân hàng Nhà nước?",120 ngày.,90 ngày.,60 ngày.,150 ngày.,1,Điều 65 Điều lệ Agribank 2024
8,8,"Theo Quy chế quản trị điều hành nội bộ Agribank, “quản trị điều hành” được hiểu là hệ thống nào sau đây?",Hệ thống quy trình nghiệp vụ nhằm điều hành hoạt động kinh doanh ngân hàng.,"Hệ thống cơ chế, quy chế và quy trình xử lý công việc, kiểm tra, giám sát hoạt động nội bộ của Agribank vì lợi ích của chủ sở hữu và người có quyền lợi liên quan.",Hệ thống văn bản pháp lý nội bộ điều chỉnh hoạt động của Hội đồng thành viên.,Hệ thống quản lý rủi ro và kiểm soát nội bộ trong hoạt động tài chính.,2,"Khoản 1, Điều 1 Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV"
9,9,"Theo Quy chế quản trị điều hành nội bộ Agribank, hành vi nào sau đây bị nghiêm cấm tuyệt đối nhằm phòng ngừa xung đột lợi ích và bảo vệ lợi ích của Agribank?",Tham gia ý kiến chuyên môn trong giao dịch liên quan.,Công khai lợi ích liên quan theo quy định.,"Sử dụng thông tin, cơ hội kinh doanh của Agribank để tư lợi cá nhân hay để phục vụ lợi ích của tổ chức hoặc cá nhân khác.",Báo cáo giao dịch với người có liên quan.,3,"Khoản 1, 3, Điều 24 Quyết định số 799/QĐ-HĐTV-UBNS ngày 15/8/2017 của HĐTV"
10,10,Nhận định nào sau đây là đúng và đầy đủ nhất?,Agribank mở tài khoản thanh toán tại các ngân hàng thương mại khác để phục vụ thanh toán và dự trữ thanh khoản.,Agribank mở tài khoản thanh toán tại Ngân hàng Nhà nước và duy trì số tiền dự trữ bắt buộc trên tài khoản này.,Agribank mở tài khoản tại Ngân hàng Nhà nước nhưng việc duy trì dự trữ bắt buộc được thực hiện tại quỹ tiền mặt của ngân hàng.,Agribank chỉ mở tài khoản thanh toán tại Ngân hàng Nhà nước khi có yêu cầu điều hành chính sách tiền tệ.,2,Khoản 1 Điều 20 Điều lệ Agribank 2024
II. VĂN HÓA AGRIBANK; ĐẠO ĐỨC NGHỀ NGHIỆP (10 CÂU),,,,,,,,
11,1,"Trong nghi thức bắt tay chào hỏi, quy định nào thể hiện tính thứ bậc rõ ràng nhất?",Người trẻ tuổi chủ động bắt tay người lớn tuổi.,Người có chức vụ thấp hơn chủ động bắt tay trước.,Người có chức vụ cao hơn chủ động bắt tay trước.,Bắt tay lần lượt mọi người.,3,Phần II – Mục 2. Chuẩn mực trong chào hỏi
12,2,Nguyên tắc nào được coi là bắt buộc khi viết email công việc tại Agribank?,Có thể dùng email cá nhân nếu thuận tiện,Nội dung càng chi tiết càng tốt,Phải kiểm tra lỗi chính tả trước khi gửi,Có thể gộp nhiều nội dung không liên quan,3,"Phần II – Mục 6. Chuẩn mực trong viết, trả lời thư điện tử"
13,3,Câu chào nào sau đây không đúng theo quy định trong Cẩm nang văn hóa Agribank?, Chào sếp!, Chào Giám đốc!, Chào bác!, Chào anh!,1,"Chuẩn mực trong ứng xử, giao tiếp với đồng nghiệp – Cẩm nang văn hóa Agribank "
14,4,"Cán bộ Agribank được nhận quà tặng từ khách hàng, đối tác trong trường hợp nào?",Quà tặng là một chiếc điện thoại thông minh đời mới., Quà tặng là một voucher mua hàng trị giá 1.000.000 đồng., Quà tặng là 500.000 đồng tiền mặt., Không được phép nhận quà.,4,Trách nhiệm của cán bộ viên chức Agribank  – Cẩm nang văn hóa Agribank
15,5,Agribank thực hiện và xây dựng Văn hóa Agribank để:, Văn hóa doanh nghiệp trở thành cầu nối giữa các thế hệ trong mái nhà chung Agribank.,Văn hóa doanh nghiệp trở thành nguồn sức mạnh nội lực trong kinh doanh., Văn hóa doanh nghiệp trở thành chuỗi giá trị giàu bản sắc của lớp lớp thế hệ người lao động Agribank., Đem lại sự hài lòng cao nhất cho khách hàng.,2,"Website Agribank, phần Văn hóa"
