"NGÂN HÀNG NÔNG NGHIỆP
 VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM",,,,"CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc",,,
,,,,,,,
,,,, ,"Hà Nội, ngày      tháng        năm 2026",,
,,,,,,,
"BỘ CÂU HỎI, ĐÁP ÁN ÔN TẬP KỲ KIỂM TRA CHUYÊN MÔN NGHIỆP VỤ ĐỊNH KỲ TẠI CHI NHÁNH  ĐỢT 1 NĂM 2026",,,,,,,
VỊ TRÍ:  XỬ LÝ NỢ,,,,,,,
,,,"Đầu mối nhận phản hồi về câu hỏi, đáp án: Phạm Văn Hùng    0975.880699/ 0246.3284.924",,,,
,,,,Email: hungphamvan@agribank.com.vn,,,
STT ,CÂU HỎI,ĐÁP ÁN 1,ĐÁP ÁN 2,ĐÁP ÁN 3,ĐÁP ÁN 4,ĐÁP ÁN ĐÚNG,"TRÍCH DẪN 
NGUỒN CÂU HỎI"
1,Nhận định nào là đúng về đơn vị thực hiện nhiệm vụ của ba tuyến bảo vệ độc lập?,Tuyến bảo vệ thứ 1 là Bộ phận quản lý rủi ro,Tuyến bảo vệ thứ 2 là các Đơn vị kinh doanh,Tuyến bảo vệ thứ 3 là Bộ phận kiểm toán nội bộ,Tất cả các đáp án trên đều đúng,3,Điều 11 Quy chế 1205/QC-HĐTV-RRTD ngày 29/12/2023
2,Nội dung nào sau đây là KHÔNG đúng về trích lập và sử dụng dự phòng rủi ro?,Dự phòng rủi ro bao gồm: Dự phòng cụ thể và dự phòng chung.,â,Dự phòng chung là số tiền được trích lập để dự phòng cho những rủi ro có thể xảy ra nhưng chưa xác định được khi trích lập dự phòng cụ thể.,Việc sử dụng dự phòng để xử lý rủi ro làm thay đổi nghĩa vụ trả nợ của khách hàng đối với khoản nợ được sử dụng dự phòng để xử lý rủi ro.,4,"Khoản 13, 14, 15, 16 Điều 3 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024"
3,Chiến lược quản lý rủi ro của Agribank phải đáp ứng yêu cầu nào sau đây?,"Được thiết lập chung cho tất cả các rủi ro trọng yếu và phù hợp với chiến lược kinh doanh của Agribank từng thời kỳ
",Được thiết lập cho từng loại rủi ro trọng yếu và phù hợp với chiến lược kinh doanh của Agribank từng thời kỳ,"Chỉ được thiết lập cho RRTD và rủi ro hoạt động, đảm bảo phù hợp với quy định của NHNN và của Agribank","Chỉ được thiết lập cho RRTD và rủi ro thanh khoản, đảm bảo phù hợp với quy định của NHNN và của Agribank",2,Khoản 1 Điều 15 Quy chế số 1205/QC-HĐTV-RRTD ngày 29/12/2023
4,Hạn mức RRTD là gì?,"Hạn mức RRTD là giá trị tối đa của các chỉ số RRTD do Agribank thiết lập cho các đối tượng khách hàng, ngành, lĩnh vực kinh tế, sản phẩm tín dụng, hình thức bảo đảm phù hợp với khẩu vị rủi ro của Agribank",Hạn mức RRTD là giá trị tối thiểu của các chỉ số RRTD do Agribank thiết lập cho các đối tượng khách hàng,Hạn mức RRTD là giá trị tối thiểu hoặc tối đa của các chỉ số RRTD do Agribank thiết lập cho các đối tượng khách hàng,"Hạn mức RRTD là giá trị tối thiểu và tối đa của các chỉ số RRTD do Agribank thiết lập cho các đối tượng khách hàng, ngành, lĩnh vực kinh tế",1,Khoản 7 Điều 3 Quy định 375/QyĐ-HĐTV-RRTD ngày 10/5/2024
5,"Nội dung nào sau đây là nguyên tắc phân tán rủi ro?
","Việc phát triển hoạt động tín dụng phải đảm bảo đa dạng hóa danh mục cấp tín dụng, hạn chế rủi ro tập trung tín dụng trên cơ sở xây dựng, kiểm soát các giới hạn theo ngành/lĩnh vực kinh tế (đặc biệt các ngành/lĩnh vực có rủi ro cao), sản phẩm, khách hàng, khách hàng và người có liên quan, thời hạn cấp tín dụng phù hợp với định hướng của HĐTV từng thời kỳ","Cá nhân, đơn vị tham gia vào quy trình tín dụng, quy trình quản lý RRTD, rủi ro tập trung tín dụng thực hiện chức năng, nhiệm vụ được giao trung thực và khách quan, chịu trách nhiệm trước pháp luật và Agribank về việc thực hiện các chức năng, nhiệm vụ được giao","Các trạng thái rủi ro, hành vi vi phạm về quản lý RRTD, rủi ro tập trung tín dụng phải được báo cáo kịp thời, đầy đủ cho HĐTV, Ban Kiểm soát, TGĐ; có cơ chế xử lý đối với các vi phạm về quản lý RRTD, rủi ro tập trung tín dụng","Cá nhân, đơn vị triển khai hoạt động tín dụng tuân thủ quy định của pháp luật, NHNN, quy định này và quy định nội bộ có liên quan",1,Khoản 4 Điều 4 Quy định 375/QyĐ-HĐTV-RRTD ngày 10/5/2024
6,Chọn đáp án đúng nhất: Quản lý RRTD được thực hiện ở khâu nào trong quy trình cấp tín dụng?,"Xem xét, thẩm định tín dụng",Phê duyệt tín dụng,"Quản lý tín dụng, quản lý danh mục tín dụng",Tất cả các đáp án trên,4,Khoản 1 Điều 4 Quy định 375/QyĐ-HĐTV-RRTD ngày 10/5/2024
